restaurant,num_items,num_items_under_400_cals,percent_items_under_400_cals
Mcdonalds,58,17,29.310344827586203
Chick Fil-A,27,14,51.85185185185185
Sonic,53,12,22.641509433962266
Arbys,55,15,27.27272727272727
Burger King,70,19,27.142857142857142
Dairy Queen,42,17,40.476190476190474
Subway,96,43,44.79166666666667
Taco Bell,115,49,42.608695652173914
